	AveExpr	Coef	t	P.value	F	F.p.value
A1BG	3.20512383490848	1.43674574383071	4.4899649030311	0.000820763004869824	20.1597848304511	0.000820763004869824
A2M	7.58897429205434	1.11509824351133	5.71828559867415	0.000113389047176871	32.6987901880042	0.000113389047176871
A2ML1	4.21426801295036	-2.41247350223161	-5.0004582090989	0.000351436094838071	25.0045823009446	0.000351436094838071
A2MP1	1.28211606886668	1.46176073438122	3.50079864528279	0.00465105173336149	12.2555911548138	0.00465105173336149
AAAS	2.87219399704177	0.784857107301741	1.91204512093153	0.081094887388734	3.65591654447808	0.081094887388734
AACS	5.29101892259688	-1.87920890691415	-8.97470707410873	1.55700233846041e-06	80.5453670660573	1.55700233846041e-06
AADAC	0.526732506386834	-5.6711146345755	-5.13533507390873	0.000282571788266462	26.3716663213172	0.000282571788266462
AADACL2	4.93145565530073	-4.73379001692962	-3.57930119794926	0.00403847875779731	12.811397065641	0.00403847875779732
AAED1	5.19845300066434	0.424342779645184	1.54489624577408	0.149428843633623	2.38670441020685	0.149428843633623
AAGAB	3.29578081198447	1.39479276049854	2.78096736895515	0.0172137882537665	7.73377950719332	0.0172137882537665
AAK1	6.94311847153938	0.91355828497626	4.30777735268583	0.0011202816484286	18.5569457203129	0.0011202816484286
AAMDC	2.7468610012424	-1.81234842382739	-2.85910839338556	0.0149283632474672	8.17450080512776	0.0149283632474672
AAMP	5.90919522520877	-0.0430900889727441	-0.170923217032104	0.867254167360043	0.0292147461206037	0.867254167360043
AAR2	1.71300041032857	-0.44770876695804	-1.02191018549499	0.327838002590438	1.04430042721841	0.327838002590438
AARD	0.0853911331558556	-1.79442997094788	-1.42951378290453	0.179452971649444	2.04350965551402	0.179452971649444
AARS	5.24964159710007	0.219119759515304	0.590962475193502	0.565978266106039	0.349236647086831	0.565978266106039
AARSD1	2.89184506114775	-0.251617228423964	-0.951904443698814	0.360722165679517	0.906122069933549	0.360722165679517
AASDH	4.93740712004021	-0.389725424824708	-1.56671163858179	0.144267061157	2.45458535846762	0.144267061157
AASDHPPT	4.10326775143471	-0.239545989397102	-0.883125456417922	0.395252912462681	0.779910571773363	0.395252912462681
AASS	1.96154555712587	-0.514526971174265	-1.43194314105029	0.178771655523325	2.05046115920096	0.178771655523325
AATF	5.92326530931504	0.156893075119971	0.768017884189473	0.457955640871977	0.589851470434875	0.457955640871977
AATK	3.38306533300778	0.108276642554713	0.30479755808033	0.765965187764261	0.0929015514117321	0.765965187764261
AB019441.29	1.85854713150682	-0.797679646262087	-2.56610838269348	0.0254387172351505	6.58491223172977	0.0254387172351505
ABAT	2.78574500300306	0.255920679509732	0.617405912096207	0.548995745055683	0.38119006029135	0.548995745055683
ABC12-49244600F4.4	0.430281018345294	1.47527937144839	2.9626643182162	0.0123589021721059	8.77737986243144	0.0123589021721059
ABC13-47488600E17.1	-0.32883612620943	0.16854785870868	0.251131814503353	0.806142652750153	0.0630671882557466	0.806142652750153
ABC14-864958H18.2	-0.385127083375617	0.371923710079494	0.330336008937681	0.747085454040125	0.109121878800876	0.747085454040125
