"","geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","CXCL11",11.2130705055779,1.57619412403788,6.98141956462918,1.84179686858325e-05,0.000282778545874386,3.11077597285843
"2","GYG2",-10.6225603303123,0.395510034149332,-6.41146942241783,4.07268559033845e-05,0.000489289608410651,2.41697627358243
"3","IGLC3",10.2102002536177,4.36523363938385,6.9090696999057,2.03226002575335e-05,0.000304266217544828,3.18623393968297
"4","IGKV1D-33",10.2093896440781,1.98901777194885,7.69070399076138,7.26271614844151e-06,0.000148237564641353,3.89550246170787
"5","IGKV2D-28",10.0659188895546,1.771184900938,8.31571197607485,3.35758890660542e-06,9.05489554384363e-05,4.52623629296204
"6","IGLV3-25",10.0029611727508,1.11083851759177,5.70606595977619,0.000115523388307516,0.00102261540031121,1.49815105646613
"7","IGLV3-1",9.99186632992138,2.62164660333626,9.90292927976163,5.66188728044625e-07,2.80443735263632e-05,6.0523151190988
"8","IGLV3-19",9.91177541695379,3.05827280875238,6.29946123375553,4.78410344682212e-05,0.000545107405922523,2.34757405860724
"9","IGHV1-3",9.88479837547298,1.3200272480579,5.19242927559443,0.000257851058600403,0.00186365996439402,0.772578163693615
"10","IGKV1-5",9.88140399971649,4.23660682573779,12.8149222902207,3.67588731118481e-08,6.42776787155706e-06,8.69927509066841
