"","geneID","HS01","HS02","HS03","HS04","HS05","CL08","CL10","CL11","CL12","CL13"
"1","A2ML1",5.26260656598441,5.00303024063621,5.55851907738663,5.02147817768805,7.02582424083726,4.70383905334551,2.15561238630355,2.28340141746605,2.04355894188956,3.08481002796637
"2","AADAC",3.76298512786426,2.50742833760523,2.97822618385307,3.04111228332928,4.61279701134567,0.724838258127625,-5.05205299086839,0.0875934283891474,-1.17869937894682,-6.21690319683074
"3","ABCA10",5.11357690728926,5.17856959014641,7.03822868787832,4.70627019431548,3.03116530427169,2.80718013131114,3.47988285410531,3.14041577330348,3.21000631924347,1.25230627283176
"4","ABCA4",4.3624890341148,2.87402903854683,3.50975282260038,1.50057342600437,2.95975234710308,-0.869003514306789,-0.973675119168164,1.64010557951793,-1.29335937398318,-0.625323670547734
"5","ABCA8",6.14641925061209,6.84981271453488,7.20244511360171,7.54804037295501,7.01859513801532,3.46586185749532,5.13378764614487,3.34969884538652,3.68470144512762,4.7042874226665
"6","ABCD1",0.974015300351287,2.80259598142186,1.22875730196088,2.53479757349182,0.417620918122403,3.83405264019924,3.51479597938332,3.76705382844207,4.23157293867548,4.2068709824729
"7","ABHD12B",5.91753448527934,5.62640752177628,5.51916949975686,5.03155001076709,5.44300946419502,3.7173239545091,1.99446812714666,2.48747212831392,1.99635529953879,3.16778144244197
"8","ABHD16B",0.573314971843939,1.01635408745845,0.440838121761231,1.14127840772817,1.6486870902664,3.10236833755099,3.04342825617886,3.36496134824075,2.8230089996476,2.5310604729377
"9","ABI3",1.376000473972,0.968111562092002,0.620158986053559,-1.54242147543912,-1.28132806748301,4.44084527826779,4.6541619442184,4.8516919480283,5.09673108537651,4.56998507329409
"10","ABLIM1",10.0101335950345,9.65312961841014,9.4441467448028,9.64439410122008,8.37156956485383,8.45333212667819,6.75538565192092,7.00789151492282,7.13804431830748,7.91579824873183
"11","AC007325.2",5.62109264250937,5.22944173477781,5.30214822225908,5.73058205841763,5.22715865385291,2.97521303783621,-2.15789571384389,-1.1068133409586,0.339882611170996,1.16255448898145
"12","AC009950.1",1.01572601646154,3.27755322576505,2.68353612716633,2.75071362589138,-1.28132806748301,4.69065038032279,4.96087755358015,5.47555585992854,5.18623024194919,5.60475054302374
"13","AC011380.8",-2.034939788209,-0.799694036917264,-0.826770329693241,-1.83369742196552,0.127545478687213,0.428177638605815,1.62348208875397,0.751927971140652,1.27613157946087,1.69125892119328
"14","AC015688.3",0.206411386313259,1.0587719142655,0.795009712682331,-0.11851871963959,0.641184305537771,2.99564712306023,3.49606588352317,2.59153950136935,2.6129120562579,4.02348729276647
"15","AC025335.1",6.81963592902154,6.25466223734428,5.78268686098692,6.85391878039884,6.8305117158424,5.43860247193486,1.33522702698888,2.43784259865254,2.50800521395807,2.82139116330714
"16","AC116366.6",1.82028826526953,2.43053207714706,3.21621024845815,2.2997478977916,1.64868930427627,3.79647658978255,4.62487118327096,5.30475017156588,4.90758505062787,4.42248935992463
"17","AC141272.1",-5.51361216002677,-4.1961046164929,-5.58732452148392,-4.20960489090342,-1.28132806748301,4.2191193064339,2.23435459914811,2.64602615968453,4.67625978385745,2.7855834833978
