geneSymbol,HS01,HS02,HS03,HS04,HS05,CL08,CL10,CL11,CL12,CL13
WNT7B,4.3080588770285,4.5367982755697,4.463378130921831,4.288340641381429,4.984531207553768,1.5639630447933206,2.436810804517261,-0.5489610449093141,0.37815885838825297,0.40297451584274835
C10orf90,2.3493555356360925,2.282213020809495,2.7433557786306144,2.123017828680511,2.5416173454268063,-0.6075418747680158,0.31294244274157035,-1.4980752427253177,-1.081944268904681,-1.3502124442530183
RP11-98L5.5,2.178782820724253,2.019646283532366,1.7074163421227067,1.462948035106745,2.057659430152353,-3.0278266704872214,-2.3826370361072837,-5.118379805642771,-5.373269488256955,-6.216903196830741
SLC25A27,1.9959358599465078,1.8161282598875894,2.5409540337741547,2.1843531759248953,2.539731342699402,0.26693329105140895,0.3419967614738136,-0.6133415586793768,-0.7493743755441501,-0.5364739963011123
CLSTN2,5.525112714852281,6.3167108936908845,6.507020993651386,6.43015838061967,6.568729566384012,2.818464763417601,3.216661206543709,1.6009733871224106,1.3214082735819608,1.4742964166895054
EPHB3,7.378927690534521,6.971037824542016,6.890843347813104,7.296181576479273,7.038096535757439,5.421970362557289,5.134893540622207,3.220439719199028,3.639415227798358,4.228926797667353
EN1,4.692128155198783,3.998693776834011,4.176738963870703,4.0332241941988585,4.23028274713022,2.8717767112052957,2.8521455785482157,1.5417128357974093,1.578925907464679,2.173495538194924
PHYHIP,3.894701587244906,3.219726706559773,2.245263713324665,4.135260724663341,4.1076553175165715,-0.4596957586352094,-0.1617593105283383,-5.118379805642771,-5.373269488256955,-3.0852908236072585
KIAA0895,4.6972706750991255,4.806620730330011,4.480195956921157,5.336037990917228,4.501319115725011,2.3146845125043805,2.7876746638803636,1.3760302751980356,0.025877697428734785,2.0274456949963273
AMOTL1,8.553191655037585,8.118139105597265,8.039774087429777,8.239830506183791,8.2441584009404,6.457941385366779,6.54729950024403,5.84095616332923,4.588033877788543,6.194039432890214
ZNF703,5.198594878908882,4.857115365196859,4.605555379191999,5.126579279727841,5.343104366530365,2.9831346424203535,3.627910469898147,2.4313803476793234,2.0570842511168888,2.9376556683793775
MAT1A,3.5290602725510327,4.524166333722179,2.257279624990223,3.113422410935921,3.6795137718310484,-0.46010337336048274,-0.07497984297267363,-0.8887133630821045,-2.7563100887425485,-0.830887388754416
TMEM159,6.967040384432125,7.354621322170053,7.169434860853678,7.486464320601889,7.41891830872781,5.111889472828345,4.323086044812078,3.38307978224164,4.1383810015017755,4.587314379630621
PTPN14,8.249014894970992,8.555074932790472,8.339499511432098,8.668490332254077,8.206767564904439,6.1586041802335565,5.7128304279004345,4.9738047969544406,5.618056833323377,5.972522822537238
DHRS3,5.373720647676423,5.728135593666605,5.5843530685617635,5.942832096198168,5.5237595570492495,4.197701399688315,3.57621370761794,2.7062556641246966,3.394603533958186,3.397165973854849
CKB,5.092158716165564,5.6714503166125825,4.923885840286218,5.936586640013164,5.577072494543026,3.067958370328984,1.7339936176209445,0.21353168393702468,1.2786817355316378,1.7301623906096215
TRPV6,5.1800231214099055,4.678609849796835,4.554105606653298,4.917059526239741,4.3334623307445055,2.2869781044985573,1.2554383992235172,-0.12030378755715532,0.6437424051714983,0.9227757160761361
CTDSPL,7.997134774327574,7.870459425695375,7.606809875916999,8.032787284838179,7.585612346242672,6.512118010427679,5.369130858481701,4.868351716873177,5.305969265356288,5.381556668564135
ST6GALNAC2,3.310477098151422,3.694443011261514,3.006221686420679,3.9626551659193736,3.374228283120815,2.131503479097005,1.3886795259753895,0.8053508797898988,0.7200203637894782,1.5015844497601278
PCDHGA2,2.727582358851479,2.6449994881738093,1.6123194938860907,2.680116642557099,3.1106182770091815,0.5233343408603401,0.01531347004038978,-1.087975751481878,-0.19602057870742376,0.12221171403499916
CHL1,8.98958987410792,8.531342072338465,8.079527349230224,7.645089577006576,8.02811630467252,5.819683901763416,5.640361233450248,5.0636027145461755,5.044853175057613,6.069297077227332
ARHGAP23,7.877413379620558,7.469875269869718,7.3348731316401645,7.010502623070896,6.866395259800764,5.573026609464646,5.617184593451576,5.040959846384646,4.45620761905326,5.734133265387131
SOX9,6.389555956977395,5.377588126050648,5.692741348743979,5.0348663955602015,5.078152396115938,2.43588752072954,1.7479508980825234,1.173010650952495,0.5206264425859382,3.563707152944733
ZNF732,2.5943253007020255,2.6078024300792206,2.6371072842230263,2.2570154703872025,1.993802510103891,-0.4007007167229065,0.07418180488746051,-1.401204426890834,-2.593156372147254,0.05447817235821206
ITGA2,7.6170202853239015,7.087196844664863,7.4901919932222905,7.210441588223146,6.791301840141425,5.034278451957389,5.545963140181897,4.400376602757727,4.195649153991646,5.531440150991245
PTPN21,7.344057854437851,6.898303811834486,6.779258276122832,6.781607550186379,6.93723099278582,3.9596727622884185,4.01620388335857,2.584299701903773,2.135470681592761,3.714071403678532
ADGRL3,5.859122442389708,6.065996620177023,5.759028379378563,5.885743960000339,5.60929806934315,2.4578364087277453,3.388762587393615,1.9390459783438394,1.5659229831505652,3.064622122243404
NDRG2,7.062971048084145,6.662988985705536,6.837059338543349,6.580241728895723,6.144588702921203,4.7905000360307914,4.545412460517835,3.2775742010839455,3.673042194675771,4.753661587277014
DLG5,7.8371085446803805,7.712716125108232,7.751033042326093,7.677694040142191,7.485606855037676,6.058219427615716,6.108829677606878,4.782538992680599,5.326548366034614,6.057666472766752
CGNL1,7.775240962764215,7.069366578669282,7.436484338386777,7.499192524023814,6.935554074252028,5.105886204632351,4.868268484769004,3.610548068084628,4.005950569437999,4.6139610335323455
NHSL1,6.711843909803367,6.624176544458141,6.515085253928146,6.399938226180327,6.320344118900915,5.126138696619194,4.820493863057077,3.5419008368259948,3.827060973661459,4.749889127851335
FGFR2,8.188220298694162,7.278421352064164,7.916180170876853,7.440618675209647,7.370067261910896,4.867045639739255,3.636934735536982,1.4508471787460562,2.037057608376282,4.120464351002637
ZNRF3,6.227368789372953,6.1120966985599345,5.997630293907775,5.793205826447904,5.577018751621785,3.9355766234288594,3.0330311999040327,1.6828766977652088,2.6320930812649075,3.4728158403818115
WNT2B,6.207299611619233,5.867104310650177,6.059417402102185,5.626992677713295,5.468793116869918,3.368273299136143,2.497781149506617,2.050808001615755,2.178688095386959,3.046649585939784
AHNAK2,12.40310219521712,12.060804844647777,12.008923961171163,11.959243734601477,11.562352618797009,8.788948258984913,7.6569061207196345,7.2241105883199825,7.198860646993058,8.42553358248659
LRP4,8.058043188315535,7.663361033769588,7.926495368707012,7.775180191540271,7.58479025539372,3.9615902620973786,3.0901895556553107,2.1364017833923876,1.9005192078664053,3.4393642658221792
MAGI1,7.197530730930164,7.023319471902684,7.256301597906682,6.66305532492211,6.866437741689616,5.114783802568894,4.420945113599423,3.6342926809638,3.4865459381903148,4.772798278013178
PGRMC2,8.484013621925095,7.773476271084324,7.9671692928938205,7.928737243642383,7.9471812046734565,5.867373272970884,5.395141372100127,4.5578635442935935,4.687630252213365,6.224278103870704
NMRAL1P1,2.4083182406665906,1.7954073235211732,1.9654222698802575,2.196597705700391,2.709419307336925,-0.9410182456213703,-1.62811020511036,-3.5417711688927596,-2.597967292001829,-0.392169423114905
EGFR,10.207504561316673,9.94962657791914,10.110763006337784,10.03610739991842,9.530357978588892,7.339231084498969,6.746045433441117,6.587548508892357,5.832214088487397,7.267529193010395
ALDH3A2,8.671902859542366,8.633966952172921,8.262212295223245,8.47362414007286,8.03210559217112,5.71702869153591,5.361831023724897,5.322385500057964,4.518703415127884,5.9279563423418304
MYH14,8.398550456078707,7.803517651327424,7.65578056220513,7.8390606540715515,7.650704653496751,3.0058077502694864,1.4794521927821216,1.5921020092517197,1.4384279563985052,3.606837459310173
PLEKHA1,8.252298059674777,8.25509336526825,7.99674514762703,8.478793568386674,8.285935887337912,6.222244127862044,5.368681251914808,5.483023644352624,4.826581234293041,5.872893898635262
CHP2,7.594140078237717,7.5285153272273355,7.001717330329031,7.372357202281573,7.14447550952914,2.9737996519890935,1.6404461135952757,2.2476767576619237,1.1710704367781524,2.1572566499054573
