"","geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","CXCL11",11.2130705055779,1.57619412403788,6.98141956462918,1.84179686858325e-05,0.000282778545874386,3.11077597285843
"2","GYG2",-10.6225603303123,0.395510034149332,-6.41146942241783,4.07268559033845e-05,0.000489289608410651,2.41697627358243
"3","IGLC3",10.2102002536177,4.36523363938385,6.9090696999057,2.03226002575335e-05,0.000304266217544828,3.18623393968297
"4","IGKV1D-33",10.2093896440781,1.98901777194885,7.69070399076138,7.26271614844151e-06,0.000148237564641353,3.89550246170787
"5","IGKV2D-28",10.0659188895546,1.771184900938,8.31571197607485,3.35758890660542e-06,9.05489554384363e-05,4.52623629296204
"6","IGLV3-25",10.0029611727508,1.11083851759177,5.70606595977619,0.000115523388307516,0.00102261540031121,1.49815105646613
"7","IGLV3-1",9.99186632992138,2.62164660333626,9.90292927976163,5.66188728044625e-07,2.80443735263632e-05,6.0523151190988
"8","IGLV3-19",9.91177541695379,3.05827280875238,6.29946123375553,4.78410344682212e-05,0.000545107405922523,2.34757405860724
"9","IGHV1-3",9.88479837547298,1.3200272480579,5.19242927559443,0.000257851058600403,0.00186365996439402,0.772578163693615
"10","IGKV1-5",9.88140399971649,4.23660682573779,12.8149222902207,3.67588731118481e-08,6.42776787155706e-06,8.69927509066841
"11","CXCL9",9.8306953772077,5.60877685864809,7.90326597880837,5.55926583021242e-06,0.000122991837065852,4.44844642382941
"12","ADIPOQ",-9.75629035552708,2.83768288917401,-3.90136496722596,0.00227519036032652,0.0101831460718688,-1.34984881372018
"13","ADAMDEC1",9.75508556074356,4.48697828759731,8.42828072195539,2.93524846136924e-06,8.33064221161967e-05,5.02166831664702
"14","IGLV2-8",9.74245290944094,2.93392356852731,12.3999275684543,5.2421528864093e-08,7.83953883099268e-06,7.94760791518643
"15","IGHV3-21",9.72902666319183,2.2901198248955,7.72993779837519,6.91041345074372e-06,0.000143344021445538,3.98338763854493
"16","IGLV2-23",9.68786888357863,3.99511530038404,8.57938744657878,2.45573220542818e-06,7.50373339705786e-05,5.13908845871279
"17","IGKV1D-39",9.68172064151287,3.45693901520542,8.82502021938145,1.84681774716696e-06,6.30023933477252e-05,5.29832076572055
"18","FCGR1A",9.67147187611027,3.49000425458659,9.89167619222382,5.72911132582127e-07,2.8287259825555e-05,6.27620756374394
"19","IGKV1-6",9.63275276960628,0.759543263066977,6.54987968437643,3.34570659378577e-05,0.000428277980684362,2.59244108806122
"20","IGHV4-34",9.63006109260364,2.23875331668633,5.77833742472715,0.000103491062434476,0.000944598881480869,1.61220029188036
"21","IGLV3-21",9.61569805445862,3.95558741820931,5.0261341116779,0.000337077708566172,0.00230038157144786,0.498059174907875
"22","IGHG3",9.57738870521177,5.66567259315008,8.51217897021878,2.65771191119541e-06,7.85927160462659e-05,5.16644933307643
"23","IGHV3-23",9.55579884204958,3.26924126115257,7.7173010969153,7.02184251987996e-06,0.000144796805914367,4.12620215286547
"24","IGHV3-53",9.54451226667996,0.837258603409953,7.62752739319717,7.87110260021681e-06,0.000155007093567766,3.82434512793699
"25","IGLC1",9.42869215297573,4.43573759943148,8.15748760588721,4.06520434470656e-06,0.000101323915341701,4.7178940173727
"26","IGHV4-4",9.42560540021891,1.06079732780206,3.38863238507638,0.00569530566582774,0.0207445173350396,-2.09017484854167
"27","CH17-60O17.7",9.42525834412197,1.07901514799129,8.12372853935212,4.23599545402869e-06,0.000103751869758281,4.33456122819592
